probe voltage (V), probe current (A), resistance (9.9e37 if not enabled) , timestamp , status word ,
-4.600000E+01,-1.142334E-07,+9.910000E+37,+2.447528E+03,+2.150800E+04,
-4.599000E+01,-9.150354E-08,+9.910000E+37,+2.448604E+03,+2.150800E+04,
-4.598000E+01,-8.897806E-08,+9.910000E+37,+2.449681E+03,+2.150800E+04,
-4.597000E+01,-8.342188E-08,+9.910000E+37,+2.450752E+03,+2.150800E+04,
-4.596000E+01,-8.746269E-08,+9.910000E+37,+2.451811E+03,+2.150800E+04,
-4.595000E+01,-8.241161E-08,+9.910000E+37,+2.452871E+03,+2.150800E+04,
-4.594000E+01,-8.443202E-08,+9.910000E+37,+2.453928E+03,+2.150800E+04,
-4.593000E+01,-8.392694E-08,+9.910000E+37,+2.454987E+03,+2.150800E+04,
-4.592000E+01,-8.594735E-08,+9.910000E+37,+2.456044E+03,+2.150800E+04,
-4.591000E+01,-8.443205E-08,+9.910000E+37,+2.457102E+03,+2.150800E+04,
-4.590000E+01,-8.140135E-08,+9.910000E+37,+2.458163E+03,+2.150800E+04,
-4.589000E+01,-8.190651E-08,+9.910000E+37,+2.459221E+03,+2.150800E+04,
-4.588000E+01,-7.988604E-08,+9.910000E+37,+2.460279E+03,+2.150800E+04,
-4.587000E+01,-8.039117E-08,+9.910000E+37,+2.461335E+03,+2.150800E+04,
-4.586000E+01,-8.342177E-08,+9.910000E+37,+2.462409E+03,+2.150800E+04,
-4.585000E+01,-8.190649E-08,+9.910000E+37,+2.463468E+03,+2.150800E+04,
-4.584000E+01,-8.291676E-08,+9.910000E+37,+2.464526E+03,+2.150800E+04,
-4.583000E+01,-8.140137E-08,+9.910000E+37,+2.465582E+03,+2.150800E+04,
-4.582000E+01,-8.089625E-08,+9.910000E+37,+2.466662E+03,+2.150800E+04,
-4.581000E+01,-8.140137E-08,+9.910000E+37,+2.467722E+03,+2.150800E+04,
-4.580000E+01,-7.887591E-08,+9.910000E+37,+2.468779E+03,+2.150800E+04,
-4.579000E+01,-8.190641E-08,+9.910000E+37,+2.469838E+03,+2.150800E+04,
-4.578000E+01,-8.039112E-08,+9.910000E+37,+2.470918E+03,+2.150800E+04,
-4.577000E+01,-8.241158E-08,+9.910000E+37,+2.471978E+03,+2.150800E+04,
-4.576000E+01,-7.887585E-08,+9.910000E+37,+2.473034E+03,+2.150800E+04,
-4.575000E+01,-7.988604E-08,+9.910000E+37,+2.474092E+03,+2.150800E+04,
-4.574000E+01,-7.837070E-08,+9.910000E+37,+2.475149E+03,+2.150800E+04,
-4.573000E+01,-8.089620E-08,+9.910000E+37,+2.476207E+03,+2.150800E+04,
-4.572000E+01,-7.887581E-08,+9.910000E+37,+2.477265E+03,+2.150800E+04,
