Sample Name,Temperature (K),Critical B Field 1 Old,Critical B Field 2 Old,Critical B Field 1,Critical B Field 2,
IN2BI,1.78,4.456123222,6.701,0.206558923,0.310617834,21.5731335
 IN2BI,1.78,4.49255247,6.662,0.208138304,0.308648011,21.58445795
 IN,1.78,3.369994425,,0.159470061,,21.13245837
 IN,1.78,3.411800525,,0.161282555,,21.15418202
 IN,1.78,3.407584421,,0.161099766,,21.15201347
 IN,3.03,0.797585884,,0.047943885,,16.6358209
 IN,3.03,0.801528589,,0.04811482,,16.65866336
 PB2,5.63,,,,,#DIV/0!
 PB2,5.63,,,,,#DIV/0!
 PB2,7.03,2.222058217,,0.109701553,,20.25548551
 PB2,7.03,2.226653243,,0.109900769,,20.26057928
 PB2,7.03,2.237080785,,0.110352853,,20.27207022
 PB2,7.03,2.250616445,,0.110939688,,20.28684671
 PB2,7.03,2.24608857,,0.110743383,,20.28192122
 PTFE,5.63,,,,,#DIV/0!
 SN,1.78,3.941533113,,0.184248988,,21.39242747
 SN,2.7,2.283846443,,0.112380367,,20.32246827
 SN,2.7,2.290882875,,0.11268543,,20.32989425
 SN,3.51,0.500453685,,0.035061787,,14.27347913
 SN,3.51,0.50472255,,0.035246863,,14.31964456
 SN,3.51,0.501336236,,0.03510005,,14.2830633
 SN,3.7,0.272328409,,0.025171469,,10.8189319
 SN,3.7,0.211993517,,0.022555664,,9.398682167
 IN2BI,1.78,4.475865524,6.861,0.207414846,0.317943703,21.57929199
 IN4BI,1.78,4.766,12.81026352,0.22,0.56,21.66363636
 IN4BI,3.55,1.194,2.99388822,0.066,0.1425,18.09090909
 IN,3.55,0,,0,,#DIV/0!
 PB0,4.04,10.38565844,,0.463632547,,22.40062417
 PB0,4.04,10.35838567,,0.462450143,,22.39892414
 PB0,4.04,10.3851692,,0.463611337,,22.40059371
 PB2,4.03,10.35497058,,0.462302082,,22.39871068
 PB2,4.03,10.35451971,,0.462282535,,22.39868246
 PB2,4.03,10.33619237,,0.461487957,,22.39753435
 SNPB,4.03,10.10935255,11.012,0.45165337,0.491980755,22.3829893
 SNPB,4.03,,,,,#DIV/0!
 SNPB,4.03,10.04843728,11.128,0.449012402,0.497252446,22.37897491
 SN,1.78,3.95964941,,0.185034416,,21.39952932
 SN,1.78,3.965385997,,0.185283124,,21.40176564
 SN,2.7,2.331830405,,0.1144607,,20.37232347
 SN,2.7,2.355644917,,0.115493173,,20.39639968
 SN,2.7,2.708963056,,0.130811199,,20.70895364
 SN,2.79,2.364268984,,0.115867067,,20.40501279
 SN,3.55,0.35514919,,0.028762145,,12.34779916
 Cu,1.78,,,,,#DIV/0!
 Cu,3.82,,,,,#DIV/0!
 Cu,3.82,,,,,#DIV/0!
 Cu,7.93,,,,,#DIV/0!
 Cu,7.93,,,,,#DIV/0!
 Cu,7.93,,,,,#DIV/0!
 IN2BI,2.66,2.473719808,3.736,0.120612283,0.182157852,20.50968398
 IN2BI,2.66,2.438441715,3.7,0.119082809,0.180691788,20.47685754
 IN2BI,2.66,2.455474007,3.728,0.11982124,0.181917455,20.49281085
 IN2BI,3.52,0.638544277,,0.041048673,,15.55578367
 IN2BI,3.52,0.738028021,,0.045361768,,16.26982487
 IN2BI,3.52,0.902930924,,0.052511095,,17.19505038
 IN2BI,3.52,0.926102707,,0.053515702,,17.30525196
 IN2BI,3.52,0.947878716,,0.054459796,,17.40510956
 IN2BI,4.31,0,0,0,,#DIV/0!
 IN2BI,7.93,,,,,#DIV/0!
 IN2BI,7.93,,,,,#DIV/0!
 IN2BI,7.93,,,,,#DIV/0!
 IN4BI,1.78,4.671820823,12.877,0.215910442,0.595116738,21.63777157
 IN4BI,1.78,4.653421535,13.1405,0.215112746,0.607443149,21.63247702
 IN4BI,1.78,4.79212128,13.273,0.221126041,0.612464871,21.67144701
 IN4BI,2.66,3.249,7.789090044,0.15,0.351058927,21.66
 IN4BI,3.52,1.465,3.205556781,0.08,0.152340905,18.3125
 IN4BI,3.52,1.63,3.155169783,0.085,0.150156388,19.17647059
 IN4BI,3.52,1.548,3.249847456,0.08,0.154261117,19.35
 IN4BI,3.52,1.346705836,3.307,0.071750853,0.176192948,18.76919618
 IN4BI,3.56,1.269415394,3.3151,0.068399944,0.178627623,18.55871978
 IN4BI,4.01,0,0,0,0,#DIV/0!
 IN4BI,4.33,0,0,0,0,#DIV/0!
 IN4BI,7.93,,,,,#DIV/0!
 IN,2.66,1.887930785,,0.095215535,,19.82797014
 IN,2.66,1.884175143,,0.09505271,,19.82242424
 IN,2.66,1.570087395,,0.081435509,,19.28013239
 IN,2.85,1.444669096,,0.075998028,,19.00929714
 IN,3.04,0.842471322,,0.049889883,,16.88661651
 IN,3.55,0,,0,,#DIV/0!
 IN,3.55,0,,0,,#DIV/0!
 IN,7.93,,,,,#DIV/0!
 IN,7.93,,,,,#DIV/0!
 IN,7.93,,,,,#DIV/0!
 IN,7.93,,,,,#DIV/0!
 PB0,7.93,,,,,#DIV/0!
 PB0,7.93,,,,,#DIV/0!
 PB0,7.93,,,,,#DIV/0!
 PB2,2.66,12.77504778,,0.567223968,,22.52205214
 PB2,2.66,12.74871512,,0.566082322,,22.5209561
 PB2,2.66,12.79912131,,0.56826767,,22.52305029
 PB2,7.03,2.268560068,,0.11171763,,20.30619579
 PTFE,1.78,,,,,#DIV/0!
 PTFE,7.93,,,,,#DIV/0!
 PTFE,7.93,,,,,#DIV/0!
 PTFE,7.93,,,,,#DIV/0!
 SNPB,2.66,12.572,16.335,0.511210508,0.664223962,24.59260873
 SNPB,2.66,12.5753944,14.952,0.558568042,0.664131009,22.51363031
 SNPB,2.66,12.572,15.82,0.511089273,0.643130155,24.59844232
 SNPB,3.51,,,,,#DIV/0!
 SNPB,3.51,11.22724362,12.705,0.500119278,0.565946161,22.44913186
 SNPB,3.51,11.28693099,12.809,0.50270701,0.570498224,22.45230475
 SNPB,7.93,,,,,#DIV/0!
 SNPB,7.93,,,,,#DIV/0!
 SNPB,7.93,,,,,#DIV/0!
 SN,3.55,1.012170703,,0.05724716,,17.68071469
 SN,3.7,1.01935103,,0.057558461,,17.70983818
 SN,7.93,,,,,#DIV/0!
 SN,7.93,,,,,#DIV/0!
 SN,7.93,,,,,#DIV/0!
