Temperature (K)	Voltage (mV)	Voltage Error	Phase (deg)
7.16	1.42E-03	1.00E-04	-105.8
6.2	9.10E-04	1.00E-04	-106.3
6.16	4.90E-04	1.00E-04	-106.4
6.12	4.10E-05	5.00E-05	-10.6
6.08	1.70E-05	5.00E-05	21.3
6.01	1.40E-05	5.00E-05	-15.6
6.62	1.55E-03	1.00E-04	-106.4
6.57	1.39E-03	1.00E-04	-109
6.52	1.39E-03	1.00E-04	-107.6
6.25	1.02E-03	2.88E-04	-109.9
6.21	4.29E-04	1.50E-04	-110.8
6.18	1.06E-04	9.11E-05	-102.8
6.14	2.70E-05	1.00E-05	13.8
6.11	3.80E-05	1.00E-05	
6.07	2.20E-05	1.00E-05	-37.4
6.04	9.50E-06	9.19E-06	0
5.8	3.00E-05	4.24E-06	27.5
5.77	2.40E-05	1.00E-05	-8.4
5.75	2.20E-05	1.00E-05	13
5.73	1.80E-05	1.00E-05	4.1
5.7	2.50E-05	1.00E-05	-2.3
7.82	1.45E-03	1.00E-04	-108.7
7.1	1.40E-03	1.00E-04	-108.1
6.6	1.37E-03	1.00E-04	-108.5
6.55	1.40E-03	1.00E-04	-107.3
6.51	1.33E-03	1.00E-04	-108.4
6.25	1.05E-03	2.08E-04	-107.9
6.21	3.97E-04	2.21E-04	-108.1
6.18	1.47E-04	6.54E-05	-88.5
6.14	5.87E-05	1.47E-05	-66.2
6.11	2.90E-05	4.58E-06	-46.3
6.08	4.23E-05	5.19E-06	32.1
5.76	4.90E-05	1.00E-05	22.1
5.6	2.03E-05	1.00E-05	
