Temperature (K)	Voltage (mV)	Voltage Error	Phase (deg)	Phase Error (deg)
4.03	5.60E-05	5.00E-06	20	5
8.01	3.00E-03	5.00E-05	112	3
11.92	5.60E-03	5.00E-05	109	3
15.88	8.00E-03	5.00E-05	110	3
20.26	1.00E-02	5.00E-05	109	3
23.89	1.21E-02	5.00E-05	108	1
27.94	1.43E-02	5.00E-05	108	0.5
31.74	1.66E-02	5.00E-05	108	0.5
38.02	2.06E-02	5.00E-05	108	0.5
40.34	2.18E-02	5.00E-05	108	0.5
44.06	2.51E-02	1.00E-04	108	0.5
48.05	2.76E-02	1.00E-04	108	0.5
52.05	3.08E-02	1.00E-04	108	0.5
56.01	3.43E-02	5.00E-05	108	0.5
59.98	3.75E-02	5.00E-05	107	0.5
63.96	4.08E-02	1.00E-04	107	0.5
68.09	4.42E-02	1.00E-04	107	0.5
71.97	4.75E-02	1.00E-04	107	0.5
75.96	5.02E-02	1.00E-04	107	0.5
80.11	5.35E-02	1.00E-04	107	0.5
85	5.71E-02	1.00E-04	107	0.5
87.82	5.87E-02	1.00E-04	107	0.5
89.85	6.05E-02	1.00E-04	107	0.5
94.95	6.35E-02	1.00E-04	107	0.5
100	6.65E-02	1.00E-04	107	0.5
103.1	6.75E-02	1.00E-04	107	0.5
